stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week7,foundation_finetune,week7-m5-f10-seed43,M5,43,10,success,144.0901262,2c33d9e4eb06b05adc297d17ae0b86967d549096146e0743e30f1a6bd558035c,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f100-seed17,M5,17,100,success,536.2557702,c05cf696aef756ace806027ce01c7d79f18d89c8344bed62e6c6fe809eab8755,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f100-seed29,M5,29,100,success,528.6517312,cde85ad9b5fe71202fcc803fa144cf14b50d404820f362e6becbf39ef1416956,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f100-seed43,M5,43,100,success,541.8948829,7ac986838491f8a4e008f017325c34c741ddedca443485533944bc1c364ccdea,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f01-seed17,M6,17,01,success,124.9261073,8a03698b194efa3d053e6751c1b7e2fbf5e2a0186890a0282a5e0f98f153f49e,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f01-seed29,M6,29,01,success,126.8479283,4383a338d3547451341b96e50801e0954b7f72bf0065f1cdf1dadd3b480a6d36,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f01-seed43,M6,43,01,success,133.6843119,a345ec8f84abdcb6dba525a4c6438bc14b85b45963b2c66fc6ac68ad8b1e2d97,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f10-seed17,M6,17,10,success,162.0692746,7cab9281629532db8a23a84e5e413426a4d66c7a32de9b7e9938a061590d6449,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f10-seed29,M6,29,10,success,165.3751378,18cbffb2ad27d0d9166918777268bef39bc1d5dfd2e141d7be853e6db49307ee,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f10-seed43,M6,43,10,success,171.0416607,c2824dca4a7bb0c09bc27f3742730254333122c8c0b39ff9b9acf95a1b8e84ea,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f100-seed17,M6,17,100,success,760.5118351,1bff8c3ef961abe02d2de492d6c2033d94455c0443cb83ac19c2472a386b3e37,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
